url,Title,Title_link,Authors,Authors_link,US Publisher,Month Read,Month Read,Year Read,Seq,_url_input,Month Published,Year Published,Picked By,Author Gender,Author Birth Country,Author Birth Continent
https://swordandlaser.fandom.com/wiki/Book_List,The Sparrow,https://swordandlaser.fandom.com/wiki/The_Sparrow,Mary Doria Russell,https://www.goodreads.com/author/show/4007.Mary_Doria_Russell,Ballantine Books,Jan '15,Jan,2015,68,https://swordandlaser.fandom.com/wiki/Book_List,Sep,1997,Poll,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Night Circus,https://swordandlaser.fandom.com/wiki/The_Night_Circus,Erin Morgenstern,https://www.goodreads.com/author/show/4370565.Erin_Morgenstern,Doubleday,Dec '14,Dec,2014,67,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2011,Veronica,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Do Androids Dream of Electric Sheep,https://swordandlaser.fandom.com/wiki/Do_Androids_Dream_of_Electric_Sheep,Philip K. Dick,https://www.goodreads.com/author/show/4764.Philip_K_Dick,Del Rey,Nov '14,Nov,2014,66,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1968,Tom,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Alif the Unseen,https://swordandlaser.fandom.com/wiki/Alif_the_Unseen,G. Willow Wilson,https://www.goodreads.com/author/show/815259.G_Willow_Wilson,Grove Press,Oct '14,Oct,2014,65,https://swordandlaser.fandom.com/wiki/Book_List,Jun,2012,Veronica,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Stories of Your Life and Others,https://swordandlaser.fandom.com/wiki/Stories_of_Your_Life_and_Others,Ted Chiang,https://www.goodreads.com/author/show/130698.Ted_Chiang,Small Beer Press,Sep '14,Sep,2014,64,https://swordandlaser.fandom.com/wiki/Book_List,Jul,2002,Tom,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Name of the Wind,https://swordandlaser.fandom.com/wiki/The_Name_of_the_Wind,Patrick Rothfuss,https://www.goodreads.com/author/show/108424,DAW (Penguin Group),Aug '14,Aug,2014,63,https://swordandlaser.fandom.com/wiki/Book_List,Mar,2007,Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Dawn,https://swordandlaser.fandom.com/wiki/Dawn,Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,Warner Books,Jul '14,Jul,2014,62,https://swordandlaser.fandom.com/wiki/Book_List,May,1987,Poll,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Promise of Blood,https://swordandlaser.fandom.com/wiki/Promise_of_Blood,Brian McClellan,https://www.goodreads.com/author/show/6524620.Brian_McClellan,Orbit (Hachette),Jun '14,Jun,2014,61,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2013,Poll,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Martian,https://swordandlaser.fandom.com/wiki/The_Martian,Andy Weir,https://www.goodreads.com/author/show/6540057.Andy_Weir,Broadway Books (Random House),May '14,May,2014,60,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2012,Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,A Dance of Cloaks,https://swordandlaser.fandom.com/wiki/A_Dance_of_Cloaks,David Dalglish,https://www.goodreads.com/author/show/3399559.David_Dalglish,Orbit (Hachette),Apr '14,Apr,2014,59,https://swordandlaser.fandom.com/wiki/Book_List,Aug,2010,Kickstarter,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Brand,https://swordandlaser.fandom.com/wiki/The_Brand,Bryan Alexander Benson,https://www.goodreads.com/author/show/7884330.Bryan_Alexander_Benson,CreateSpace Independent Publishing Platform,Apr '14,Apr,2014,59a,https://swordandlaser.fandom.com/wiki/Book_List,Jan,2014,Kickstarter,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Altered Carbon,https://swordandlaser.fandom.com/wiki/Altered_Carbon,Richard K. Morgan,https://www.goodreads.com/author/show/16496.Richard_K_Morgan,Del Rey (Random House),Mar '14,Mar,2014,58,https://swordandlaser.fandom.com/wiki/Book_List,Feb,2002,Poll,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,A Wizard of Earthsea,https://swordandlaser.fandom.com/wiki/A_Wizard_of_Earthsea,Ursula K. Le Guin,https://www.goodreads.com/author/show/874602.Ursula_K_Le_Guin,Parnassus Press (Hachette),Feb '14,Feb,2014,57,https://swordandlaser.fandom.com/wiki/Book_List,Nov,1968,Veronica,Female,United States,North America
